"Statistic Label","Year","Gross Vehicle Weight","Fuel Type","Type of Carriage","Licensing Authority","UNIT","VALUE"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Cavan","Number","18"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Carlow","Number","7"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Donegal","Number","13"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Dublin","Number","2245"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Galway","Number","39"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Kildare","Number","36"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Kilkenny","Number","15"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Kerry","Number","12"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Longford","Number","0"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Louth","Number","20"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Limerick","Number","33"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Leitrim","Number","4"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Laois","Number","8"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Meath","Number","10"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Monaghan","Number","3"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Mayo","Number","10"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Offaly","Number","10"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Roscommon","Number","5"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Sligo","Number","7"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Tipperary","Number","12"
"Goods vehicles","2023","All vehicle weights","Battery Electric Vehicles (BEV)","Main use (own account and hire or reward)","Co. Waterford","Number","30"
